YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-01 12:49:11', name='神射手之誓', lang='zh-cn', item_type='武器', rank_type='3', id='1630469160029223447'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-01 12:49:11', name='翡玉法球', lang='zh-cn', item_type='武器', rank_type='3', id='1630469160029223446'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-01 12:49:11', name='砂糖', lang='zh-cn', item_type='角色', rank_type='4', id='1630469160029223445'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-01 12:49:11', name='翡玉法球', lang='zh-cn', item_type='武器', rank_type='3', id='1630469160029223444'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-01 12:49:11', name='雷电将军', lang='zh-cn', item_type='角色', rank_type='5', id='1630469160029223443'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-01 12:49:11', name='飞天御剑', lang='zh-cn', item_type='武器', rank_type='3', id='1630469160029223442'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-01 12:49:11', name='冷刃', lang='zh-cn', item_type='武器', rank_type='3', id='1630469160029223441'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-01 12:49:11', name='铁影阔剑', lang='zh-cn', item_type='武器', rank_type='3', id='1630469160029223440'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-17 13:10:32', name='翡玉法球', lang='zh-cn', item_type='武器', rank_type='3', id='1629176760000163668'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-17 13:10:15', name='黑缨枪', lang='zh-cn', item_type='武器', rank_type='3', id='1629176760000159449'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-17 13:08:26', name='凝光', lang='zh-cn', item_type='角色', rank_type='4', id='1629176760000131032'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-17 13:07:18', name='魔导绪论', lang='zh-cn', item_type='武器', rank_type='3', id='1629176760000113335'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-16 22:56:35', name='以理服人', lang='zh-cn', item_type='武器', rank_type='3', id='1629122760001097533'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-16 22:30:20', name='魔导绪论', lang='zh-cn', item_type='武器', rank_type='3', id='1629122760000586998'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-16 22:30:10', name='黑缨枪', lang='zh-cn', item_type='武器', rank_type='3', id='1629122760000583686'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-16 22:30:02', name='飞天御剑', lang='zh-cn', item_type='武器', rank_type='3', id='1629122760000581034'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-16 22:29:55', name='冷刃', lang='zh-cn', item_type='武器', rank_type='3', id='1629122760000578752'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-16 22:29:48', name='飞天御剑', lang='zh-cn', item_type='武器', rank_type='3', id='1629122760000576530'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-16 22:29:41', name='以理服人', lang='zh-cn', item_type='武器', rank_type='3', id='1629122760000574459'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-16 22:28:25', name='早柚', lang='zh-cn', item_type='角色', rank_type='4', id='1629122760000550439'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-14 18:35:05', name='雨裁', lang='zh-cn', item_type='武器', rank_type='4', id='1628935560000516657'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-14 18:34:54', name='沐浴龙血的剑', lang='zh-cn', item_type='武器', rank_type='3', id='1628935560000514085'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-14 08:10:41', name='以理服人', lang='zh-cn', item_type='武器', rank_type='3', id='1628899560000065826'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-13 12:31:07', name='以理服人', lang='zh-cn', item_type='武器', rank_type='3', id='1628827560000510484'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-12 23:54:55', name='神射手之誓', lang='zh-cn', item_type='武器', rank_type='3', id='1628780760001166121'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-12 23:22:58', name='神射手之誓', lang='zh-cn', item_type='武器', rank_type='3', id='1628780760000504973'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-12 23:22:48', name='讨龙英杰谭', lang='zh-cn', item_type='武器', rank_type='3', id='1628780760000501462'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-12 21:36:46', name='黑缨枪', lang='zh-cn', item_type='武器', rank_type='3', id='1628773560000800423'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-12 21:36:22', name='冷刃', lang='zh-cn', item_type='武器', rank_type='3', id='1628773560000791893'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-12 21:35:54', name='早柚', lang='zh-cn', item_type='角色', rank_type='4', id='1628773560000781655'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-12 10:08:46', name='神射手之誓', lang='zh-cn', item_type='武器', rank_type='3', id='1628733960000117106'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-12 07:14:21', name='翡玉法球', lang='zh-cn', item_type='武器', rank_type='3', id='1628723160000066977'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-11 06:47:36', name='铁影阔剑', lang='zh-cn', item_type='武器', rank_type='3', id='1628633160000268689'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-11 06:47:28', name='神射手之誓', lang='zh-cn', item_type='武器', rank_type='3', id='1628633160000267872'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-11 06:45:20', name='鸦羽弓', lang='zh-cn', item_type='武器', rank_type='3', id='1628633160000253692'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-10 18:52:18', name='翡玉法球', lang='zh-cn', item_type='武器', rank_type='3', id='1628589960032890692'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-10 18:51:51', name='飞天御剑', lang='zh-cn', item_type='武器', rank_type='3', id='1628589960032782213'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-10 18:51:39', name='魔导绪论', lang='zh-cn', item_type='武器', rank_type='3', id='1628589960032734291'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-10 18:49:45', name='早柚', lang='zh-cn', item_type='角色', rank_type='4', id='1628589960032265404'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-10 18:49:40', name='飞天御剑', lang='zh-cn', item_type='武器', rank_type='3', id='1628589960032244524'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-10 18:49:18', name='弹弓', lang='zh-cn', item_type='武器', rank_type='3', id='1628589960032150578'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-10 18:49:18', name='铁影阔剑', lang='zh-cn', item_type='武器', rank_type='3', id='1628589960032150577'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-10 18:49:18', name='黎明神剑', lang='zh-cn', item_type='武器', rank_type='3', id='1628589960032150576'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-10 18:49:18', name='铁影阔剑', lang='zh-cn', item_type='武器', rank_type='3', id='1628589960032150575'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-10 18:49:18', name='笛剑', lang='zh-cn', item_type='武器', rank_type='4', id='1628589960032150574'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-10 18:49:18', name='黑缨枪', lang='zh-cn', item_type='武器', rank_type='3', id='1628589960032150573'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-10 18:49:18', name='神射手之誓', lang='zh-cn', item_type='武器', rank_type='3', id='1628589960032150572'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-10 18:49:18', name='黑缨枪', lang='zh-cn', item_type='武器', rank_type='3', id='1628589960032150571'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-10 18:49:18', name='迪奥娜', lang='zh-cn', item_type='角色', rank_type='4', id='1628589960032150570'}
